Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
04-04-20_22:21:01, configs/smallscale/conv6/conv6_kn_unsigned.yml, 1, 0.5, 86.67, 99.37, 86.67, 99.45, 92.31, 99.83
04-05-20_02:50:08, configs/smallscale/conv6/conv6_kn_unsigned.yml, 2, 0.1, 78.99, 98.61, 79.48, 98.70, 82.07, 99.13
04-05-20_02:52:42, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 10, 0.1, 77.55, 98.39, 78.33, 98.57, 80.71, 98.98
04-05-20_03:08:36, configs/smallscale/conv6/conv6_kn_unsigned.yml, 3, 0.2, 85.30, 99.36, 85.30, 99.46, 92.67, 99.88
04-05-20_03:10:29, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 11, 0.2, 84.44, 99.29, 84.59, 99.29, 90.46, 99.78
04-05-20_03:27:09, configs/smallscale/conv6/conv6_kn_unsigned.yml, 4, 0.3, 87.19, 99.41, 87.24, 99.47, 95.26, 99.96
04-05-20_03:29:04, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 12, 0.3, 85.43, 99.36, 85.64, 99.44, 93.78, 99.92
04-05-20_03:45:47, configs/smallscale/conv6/conv6_kn_unsigned.yml, 5, 0.4, 87.55, 99.57, 87.69, 99.61, 95.57, 99.96
04-05-20_03:47:23, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 13, 0.4, 86.43, 99.46, 86.66, 99.55, 94.49, 99.93
04-05-20_04:04:17, configs/smallscale/conv6/conv6_kn_unsigned.yml, 6, 0.6, 83.85, 99.11, 83.85, 99.15, 87.87, 99.65
04-05-20_04:04:58, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 14, 0.5, 86.92, 99.57, 86.92, 99.58, 94.47, 99.94
04-05-20_04:22:59, configs/smallscale/conv6/conv6_kn_unsigned.yml, 7, 0.7, 77.40, 98.39, 78.09, 98.54, 80.39, 98.86
04-05-20_04:23:24, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 15, 0.6, 86.17, 99.37, 86.27, 99.37, 92.59, 99.86
04-05-20_04:41:20, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 16, 0.7, 83.14, 99.02, 83.14, 99.03, 87.49, 99.55
04-05-20_04:41:52, configs/smallscale/conv6/conv6_kn_unsigned.yml, 8, 0.8, 48.41, 92.38, 48.41, 92.38, 47.59, 92.35
04-05-20_04:59:23, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 17, 0.8, 75.75, 98.04, 75.75, 98.04, 77.15, 98.50
04-05-20_05:00:13, configs/smallscale/conv6/conv6_kn_unsigned.yml, 9, 0.9, 10.00, 50.00, 10.18, 50.09, 12.87, 55.89
04-05-20_05:18:02, configs/smallscale/conv6/conv6_ukn_unsigned.yml, 18, 0.9, 56.10, 94.44, 56.10, 94.44, 53.90, 94.16
04-05-20_07:43:21, configs/largescale/subnetonly/resnet18-ukn-unsigned.yaml, 100, 0.5, 0.62, 1.43, 1.71, 5.32, 58.87, 81.09
